Villejuif            87 48 50
Juvisy               30 32 9
Fontenay             61 39 1

Juvisy               100 41 29
Fontenay             34 18 37
Montlhery            44 59 54

Fontenay             66 17 40
Montlhery            74 23 36
Brie                 39 18 44

Brie                 62 2 42
Montlhery            65 30 31
Montmartre           52 26 47

Brie                 51 46 6
Montmartre           54 18 55
Montjai              73 54 59

Montmartre           83 6 50
Montjai              49 29 35
S.Martin             47 23 35

Montjai              39 9 25
S.Martin             85 43 8
S.Christophe         55 7 27

S.Martin             37 36 32
S.Christophe         87 45 0
Clermont             54 38 28

S.Christophe         39 19 24
Clermont             107 51 32
Coyvrel              32 49 4

Clermont             57 39 28
Coyvrel              62 21 23
Noyers               59 59 9

Coyvrel              57 11 15
Noyers               60 16 52
Sourdon              62 31 53

Coyvrel              50 13 8
Sourdon              69 17 34
Arvillers            60 29 18

Sourdon              52 0 46
Arvillers            67 38 25
Villersbretonneux    60 20 49

Sourdon              44 26 58
Villersbretonneux    75 0 54
Amiens               60 32 8

Villersbretonneux    99 5 45
Sourdon              49 4 15
Vignacourt           31 50 0

Villersbretonneux    35 4 55
Vignacourt           65 14 49
Beauquene            79 40 16

Villersbretonneux    35 10 40
Beauquene            65 55 56
Mailly               78 53 24

Beauquene            59 3 33
Mailly               67 59 20
Sauty                52 57 7

Beauquene            63 26 19
Sauty                64 36 44
Bonnieres            51 56 57

Sauty                54 45 11
Bonnieres            90 41 57
Fieffe               34 32 52

Sauty                34 26 1
Fieffe               43 2 21
S.Rebreuve           102 31 38

Fieffe               72 53 57
S.Rebreuve           77 5 8
M.Chats              30 0 55

Fieffe               37 18 54
M.Chats              72 30 58
Broulezele           70 10 8

M.Chats              54 27 54
Broulezele           56 12 27
Hondscote            69 19 39

Broulezele           44 15 0
Hondscote            57 33 18
Dunkerke             78 11 42

Brie                 52 59 42
Montlhery            63 59 16
Observatoire         63 1 2

Brie                 40 33 16
Montlhery            65 16 27
Malvoisine           74 10 17

Montlhery            55 8 39
Malvoisine           43 51 14
Tréfou               81 0 7

Malvoisine           65 46 32
Tréfou               72 39 23
Mespuy               41 34 5

Malvoisine           58 26 59
Mespuy               69 47 54
La.Ch.Reine          51 45 7

Mespuy               82 7 17
La.Ch.Reine          45 41 3
Pitiviers            52 11 40

La.Ch.Reine          31 58 47
Pitiviers            91 55 13
Boiscommun           56 6 0

Pitiviers            45 15 4
Boiscommun           71 30 57
La.Courdieu          63 13 59

Boiscommun           43 33 49
La.Courdieu          98 29 33
Châteauneuf          37 56 38

La.Courdieu          67 7 4
Châteauneuf          74 6 41
Orléans              38 46 15

Châteauneuf          73 48 24
Orléans              58 27 14
Vouzon               47 44 22
